Seed,Combined_Diff,Diff_CER_Mean,Diff_CER_Std,Diff_Q_Length_Mean,Diff_Q_Length_Std,Diff_Percent_Highlighted,Diff_ECE,X_CER_Mean,X_CER_Std,X_Q_Length_Mean,X_Q_Length_Std,X_Percent_Highlighted,X_ECE,Y_CER_Mean,Y_CER_Std,Y_Q_Length_Mean,Y_Q_Length_Std,Y_Percent_Highlighted,Y_ECE,Diff_CER_Mean_norm,Diff_CER_Std_norm,Diff_Q_Length_Mean_norm,Diff_Q_Length_Std_norm,Diff_Percent_Highlighted_norm,Diff_ECE_norm
17,0.9532377598904864,0.025562438453462996,0.0682737068203346,0.4363636363636303,0.2550573543518442,2.651808285611102,0.018113740252280325,0.07014553640037775,0.13961784131623717,42.8,3.124099870362662,13.91941391941392,0.07091094105869197,0.04458309794691476,0.07134413449590257,42.36363636363637,2.869042516010818,11.267605633802818,0.05279720080641165,0.23256434472414264,0.20431101556934386,0.12173913043478048,0.13704505112280407,0.12787848763311785,0.12969973040629762
18,2.785684824095025,-0.07069474169137803,-0.11148944439165011,0.4363636363636303,-0.3199532664615492,-7.874239875792469,-0.07082282514272863,0.019725108705461025,0.02971767454167458,42.8,2.8213471959331775,8.396946564885496,0.02136622428420988,0.09041985039683906,0.1412071189333247,42.36363636363637,3.1413004623947267,16.271186440677965,0.09218904942693851,0.66071420505727,0.787851635078979,0.12173913043478048,0.1727258817735848,0.40197481344563984,0.6406791583047704
19,2.155249953318227,-0.04761046733368527,-0.09148663852183128,-0.13636363636363313,0.20588925275748338,-9.800603436967073,-0.062149180494884416,0.03181687146425247,0.049333297794965945,42.5,3.1064449134018135,7.024793388429752,0.0230121372331833,0.07942733879793774,0.14081993631679723,42.63636363636363,2.90055566064433,16.825396825396826,0.08516131772806772,0.4417240775196457,0.517754434725915,0.026086956521738026,0.11001162714622036,0.503078899766232,0.5565939576384761
20,3.3596724232970994,-0.08694232338192788,-0.11779724260391652,0.6272727272727252,-0.13406765481334482,-15.306255713726003,-0.06937336030646064,0.01121447067707777,0.020546195378669946,42.9,2.9137604568666933,4.048582995951417,0.019245439189395894,0.09815679405900565,0.13834343798258647,42.27272727272727,3.047828111680038,19.35483870967742,0.08861879949585653,0.8148477044022806,0.8730256175998948,0.182608695652173,0.07052294149555624,0.7920399008252351,0.6266275633219597
21,3.2390157841795273,-0.061906863427297634,-0.10281582219525671,2.345454545454544,-0.6559520570857473,-6.082289803220036,-0.0661224952722001,0.02432828303426504,0.03844196656147851,43.8,2.4,9.30232558139535,0.021615780048793436,0.08623514646156268,0.14125778875673523,41.45454545454545,3.0559520570857472,15.384615384615385,0.08773827532099354,0.57734755674871,0.670732012591373,0.7304347826086942,0.35746349555213064,0.3079253419590198,0.5951125947195998
22,3.033691540020695,0.04946044316007332,0.10151464671262722,1.2000000000000028,1.2194371771011916,4.636445822032805,0.07247749150373758,0.08266353886574507,0.14767809243040467,43.2,3.5156791662493894,14.981273408239701,0.09335387402471405,0.033203095705671745,0.046163445717777446,42.0,2.2962419891481978,10.344827586206897,0.020876382520976473,0.4592739660664882,0.6531622847585119,0.3652173913043482,0.6672768025523904,0.2320410501117797,0.6567200452271769
23,2.4099698503357385,-0.05941830274056304,-0.09366393540871942,-0.32727272727272805,0.4647126925165317,-6.282851938589644,-0.0719236089012478,0.02563181482255459,0.04603119965155339,42.4,3.2310988842807022,9.126984126984127,0.01693385543902056,0.08505011756311763,0.1396951350602728,42.72727272727273,2.7663861917641706,15.40983606557377,0.08885746434026837,0.5537397008668761,0.5471543997764808,0.08695652173913053,0.25231697462147484,0.3184517305679732,0.6513505227638029
24,2.7646439706180974,-0.07443681416863744,-0.11616986090544908,-0.32727272727272805,-0.8222333305603375,-3.8274967574578476,-0.05548109065218335,0.017764975503087043,0.024959044063318937,42.4,2.537715508089904,10.505836575875486,0.03034674216378553,0.09220178967172449,0.141128904968768,42.72727272727273,3.3599488386502414,14.333333333333334,0.08582783281596888,0.6962135634669046,0.8510511384431938,0.08695652173913053,0.4488876510399728,0.1895838225654497,0.491951273363446
25,1.141237973437811,0.016124873693016448,0.0650166568502052,0.054545454545454675,0.39210087063990917,6.15279461453148,0.03710969267894446,0.0652020500972867,0.1389008473253426,42.6,3.2,15.693430656934307,0.07389243838913509,0.049077176404270256,0.0738841904751374,42.54545454545455,2.807899129360091,9.540636042402827,0.03678274571019063,0.14303441285318277,0.16033118173666427,0.0,0.21239381096758167,0.31162574653088726,0.31385282134949516
26,1.2045183915450608,0.011882450059056276,0.06024411303908493,-1.4727272727272762,-0.23217555778096344,3.4554419661296976,0.03146665530893933,0.06297982819378375,0.13724996632014955,41.8,2.785677655436824,14.23611111111111,0.07335822369983729,0.05109737813472748,0.07700585328106462,43.27272727272727,3.0178532132177875,10.780669144981413,0.04189156839089796,0.10278844807760094,0.09588768664226313,0.45217391304347876,0.12446426626456777,0.17005674029677628,0.2591473372203739
27,0.7741135149518128,0.020665200985968107,-0.06088852851267289,-0.8999999999999986,-0.3603128824301516,0.4161157346192752,-0.005600986978887126,0.0675803167745471,0.07336924252572681,42.1,2.7730849247724096,12.790697674418606,0.05382912101284143,0.04691511578857899,0.1342577710383997,43.0,3.1333978072025612,12.37458193979933,0.059430107991728556,0.1861064556447162,0.10458920663966124,0.2695652173913035,0.194916256724658,0.010539446749290242,0.008396931802183625
28,1.3973442789581223,0.029699154452166775,0.06643250901614738,-0.32727272727272805,0.5925532711913206,4.898090815273477,0.03472674336265094,0.07231238763779402,0.13867672171857304,42.4,3.2924155266308657,15.073529411764705,0.07617906668713983,0.04261323318562724,0.07224421270242566,42.72727272727273,2.699862255439545,10.175438596491228,0.04145232332448889,0.2718075087112828,0.17944938488394435,0.08695652173913053,0.3226058093061914,0.24577333747181765,0.29075171684575574
29,2.8562646743318743,-0.07371469883417542,-0.10714844912861185,-0.7090909090909037,-0.8878385422292179,-3.8274967574578476,-0.06192577889850946,0.018143226392567158,0.03271463244385511,42.2,2.481934729198171,10.505836575875486,0.026673492632414073,0.09185792522674258,0.13986308157246696,42.90909090909091,3.369773271427389,14.333333333333334,0.08859927153092353,0.6893631800959406,0.7292353252010906,0.208695652173911,0.48495846615400945,0.1895838225654497,0.5544282281414731
